Fleet,Make,Model,CurrentPowerType,ProposedPowerType,Reason
FN1784,,FM-X14,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
Fox&Gunn,Bendi,B315,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2362,Bendi,B318,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2627,Bendi,B318,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2628,Bendi,B318,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2712,Bendi,B318,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2713,Bendi,B318,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1487,Bendi,B320,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2104,Bendi,B40VAC,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
,Bendi,B420,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
#218,Bendi,B420,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
#220,Bendi,B420,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
#221,Bendi,B420,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
#222,Bendi,B420,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1845,Crown,,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1977,Crown,SP3220-30,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2530,EP,CPCD50T8-X,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
,EP,CPD15TVL,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
Novii,EP,CPD15TVL,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
,EP,CPD18TVL,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2600,EP,CQD15SD,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
UniversalPharm1,EP,CQD15SD,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2726,EP,CQD16L3,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
,EP,CQD18S2,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2220,EP,CQD20L,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2727,EP,CQD20LB,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2728,EP,CQD20LB,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2716,EP,CQE12R,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
